date,state,us_state_or_territory,positive,probablecases,negative,pending,totaltestresultssource,totaltestresults,hospitalizedcurrently,hospitalizedcumulative,inicucurrently,inicucumulative,onventilatorcurrently,onventilatorcumulative,recovered,lastupdateet,datemodified,checktimeet,death,hospitalized,hospitalizeddischarged,datechecked,totaltestsviral,positivetestsviral,negativetestsviral,positivecasesviral,deathconfirmed,deathprobable,totaltestencountersviral,totaltestspeopleviral,totaltestsantibody,positivetestsantibody,negativetestsantibody,totaltestspeopleantibody,positivetestspeopleantibody,negativetestspeopleantibody,totaltestspeopleantigen,positivetestspeopleantigen,totaltestsantigen,positivetestsantigen,fips,positiveincrease,negativeincrease,total,totaltestresultsincrease,posneg,dataqualitygrade,deathincrease,hospitalizedincrease,hash,commercialscore,negativeregularscore,negativescore,positivescore,score,grade
2021-02-17,AR,Arkansas,314192,65337,2344576,,totalTestsViral,2593431,638,14392,250,,110,1480,300613,2021-02-17T00:00:00,2021-02-17T00:00:00Z,02/16 19:00,5313,14392,,2021-02-17T00:00:00Z,2593431,,2344576,248855,4268,1045,,,,,,,,,419081,76727,,,5,667,4013,2658768,4423,2658768,,26,0,e56d9d7d56dc5f99248bac9ccd824d39a6291f33,0,0,0,0,0,
2021-02-17,AS,American Samoa,0,,2140,,totalTestsViral,2140,,,,,,,,2020-12-01T00:00:00,2020-12-01T00:00:00Z,11/30 19:00,0,,,2020-12-01T00:00:00Z,2140,,,,,,,,,,,,,,,,,,60,0,0,2140,0,2140,,0,0,9b4925d3a3d9bf0be67f1a049dd6096516e138f8,0,0,0,0,0,
2021-02-17,AZ,Arizona,801055,53685,2901236,,totalTestsViral,7281277,1941,55983,593,,354,,,2021-02-17T00:00:00,2021-02-17T00:00:00Z,02/16 19:00,15063,55983,112868,2021-02-17T00:00:00Z,7281277,,,747370,13328,1735,,3648606,,,,430371,,,,,,,4,1315,4592,3702291,19717,3702291,,82,118,f9d750e1ef89d417da1560030ece276ed792e970,0,0,0,0,0,
2021-02-17,CA,California,3416147,,,,totalTestsViral,46384932,8855,,2533,,,,,2021-02-17T02:59:00,2021-02-17T02:59:00Z,02/16 21:59,47507,,,2021-02-17T02:59:00Z,46384932,,,3416147,,,,,,,,,,,,,,,6,4090,0,3416147,157207,3416147,,400,0,2b1a7ea35489c950b2c1e95401128da022cf392c,0,0,0,0,0,
2021-02-17,CO,Colorado,416174,22142,2116607,,totalTestEncountersViral,5896201,482,22922,,,,,,2021-02-17T01:59:00,2021-02-17T01:59:00Z,02/16 20:59,5838,22922,22071,2021-02-17T01:59:00Z,,,,394032,5114,724,5896201,2510639,382605,52791,327849,,,,,,,,8,1137,4108,2532781,26832,2532781,,10,85,8745990fa7bd58194e30b2a755cc5c5b8112bed3,0,0,0,0,0,
2021-02-17,CT,Connecticut,271356,16836,,,totalTestsViral,6028597,584,12257,,,,,,2021-02-16T23:59:00,2021-02-16T23:59:00Z,02/16 18:59,7476,12257,,2021-02-16T23:59:00Z,6028597,309814,5711235,254520,6129,1347,,,,,,,,,,,319256,17961,9,534,0,271356,23666,271356,,27,0,3b3b1ba07b80acbe81bd026b6fec73f27262a202,0,0,0,0,0,
2021-02-17,DC,"Washington, D.C.",39180,,,,totalTestEncountersViral,1177467,206,,54,,24,,27930,2021-02-16T00:00:00,2021-02-16T00:00:00Z,02/15 19:00,985,,,2021-02-16T00:00:00Z,,,,,,,1177467,426425,,,,,,,,,,,11,49,0,39180,4699,39180,,3,0,ff92cc4f3e48088ba2ec9fe1bc65268166dedb87,0,0,0,0,0,
2021-02-17,DE,Delaware,83581,4324,527622,,totalTestEncountersViral,1333004,195,,15,,,,,2021-02-16T18:00:00,2021-02-16T18:00:00Z,02/16 13:00,1316,,,2021-02-16T18:00:00Z,,87335,,79257,1190,126,1333004,611203,,,,,,,,,,,10,212,1233,611203,5155,611203,,25,0,a078b09dec97d800a58b9c98a9cd0fee57199cde,0,0,0,0,0,
2021-02-17,FL,Florida,1811078,332444,8909885,7982,totalTestEncountersViral,20769797,4465,77994,,,,,,2021-02-16T23:59:00,2021-02-16T23:59:00Z,02/16 18:59,29824,77994,,2021-02-16T23:59:00Z,18300331,2369671,15844134,1478634,,,20769797,10720963,969396,154948,813960,922278,145802,776136,,,,,12,7185,28762,10728945,103720,10720963,,165,308,219ec5d412733cf13cf945147dd27e20f6024e0b,0,0,0,0,0,
2021-02-17,GA,Georgia,973247,176700,,,totalTestsViral,6914772,3176,53880,,8838,,,,2021-02-17T14:50:00,2021-02-17T14:50:00Z,02/17 09:50,16273,53880,,2021-02-17T14:50:00Z,6914772,769319,,796547,14254,2019,,,464369,69684,,,,,,,,,13,3545,0,973247,19391,973247,,99,222,1f84b571e3e00ab05f64be154ccd7f79930d4446,0,0,0,0,0,
2021-02-17,GU,Guam,7703,208,106231,,posNeg,113934,4,,2,,2,,7523,2021-02-17T04:15:00,2021-02-17T04:15:00Z,02/16 23:15,130,,,2021-02-17T04:15:00Z,113726,,,7495,,,,,348,23,,,,,,,8853,247,66,2,478,113934,480,113934,,0,0,8e3e8a6532a36a0ba7a1f1935c7a3737afecb0d0,0,0,0,0,0,
2021-02-17,HI,Hawaii,27652,717,,,totalTestEncountersViral,1041656,39,2174,12,,8,,,2021-02-15T14:30:00,2021-02-15T14:30:00Z,02/15 09:30,427,2174,,2021-02-15T14:30:00Z,,26458,,26935,427,,1041656,,,,,,,,,,,,15,29,0,27652,2184,27652,,1,0,158ae237405878fa2ee2f07651fa71f74060213a,0,0,0,0,0,
2021-02-17,IA,Iowa,275713,,1017619,,posNeg,1293332,235,,52,,20,,305238,2021-02-17T00:00:00,2021-02-17T00:00:00Z,02/16 19:00,5306,,,2021-02-17T00:00:00Z,2630380,298944,2317402,275713,,,,1295703,,,,108818,16843,91925,233113,54794,1270242,58175,19,466,1933,1293332,2399,1293332,,43,0,e46c789b465b54a9ddd11502079b03ebcb21ca0b,0,0,0,0,0,
2021-02-17,ID,Idaho,167945,31432,488806,,totalTestsPeopleViral,625319,177,6933,38,1206,,,90300,2021-02-16T19:00:00,2021-02-16T19:00:00Z,02/16 14:00,1806,6933,,2021-02-16T19:00:00Z,1043924,,,136513,1589,217,,625319,,,,,,,,,78973,,16,462,2602,656751,2966,656751,,3,43,ba6db79e922e6a879aa8234057978c4314d41df9,0,0,0,0,0,
2021-02-17,IL,Illinois,1166717,,,,totalTestsViral,17320814,1719,,375,,176,,,2021-02-17T00:00:00,2021-02-17T00:00:00Z,02/16 19:00,22224,,,2021-02-17T00:00:00Z,17320814,,,,20057,2167,,,,,,,,,,,,,17,1795,0,1166717,49937,1166717,,25,0,5814c89757f820b7c773090b3f14d6a0f1fe10b2,0,0,0,0,0,
2021-02-17,IN,Indiana,651453,,2410555,,totalTestsViral,7624956,955,42086,193,7336,98,,,2021-02-16T23:59:00,2021-02-16T23:59:00Z,02/16 18:59,12250,42086,425451,2021-02-16T23:59:00Z,7624956,741642,,,11825,425,,3062008,,,,,,,,,,,18,923,3587,3062008,31115,3062008,,19,246,b44f7afb7059e75b7b0c422eff66491977a3fb76,0,0,0,0,0,
2021-02-17,KS,Kansas,288717,,940581,,posNeg,1229298,300,9002,68,2432,34,411,,2021-02-17T10:00:00,2021-02-17T10:00:00Z,02/17 05:00,4521,9002,6137,2021-02-17T10:00:00Z,2382523,,,,,,,1229298,,,,,,,,,543223,,20,1267,3799,1229298,5066,1229298,,115,79,312b9605d1fcc9f3f1a52439eb76ae6978df1eb2,0,0,0,0,0,
2021-02-17,KY,Kentucky,391772,89508,,,totalTestsViral,3780152,934,18289,259,3834,128,,46225,2021-02-17T00:00:00,2021-02-17T00:00:00Z,02/16 19:00,4336,18289,,2021-02-17T00:00:00Z,3780152,241502,,302264,3941,395,,,110306,9225,,,,,,,431302,34477,21,1010,0,391772,6574,391772,,18,106,20bd9514fa0d12fb16350da719d8a552bbc593fd,0,0,0,0,0,
2021-02-17,LA,Louisiana,421018,56994,4946074,,posNeg,5367092,849,,,,126,,396834,2021-02-17T13:00:00,2021-02-17T13:00:00Z,02/17 08:00,9391,,,2021-02-17T13:00:00Z,5310098,,,364024,8740,651,,,,,,,,,,,418034,,22,624,20670,5367092,21294,5367092,,66,0,8ce624e667c7d6cbb664508e01b57981c3ffba79,0,0,0,0,0,
2021-02-17,MA,Massachusetts,561936,28912,4249632,,totalTestsViral,15140864,1088,19176,273,,179,,453740,2021-02-16T23:59:00,2021-02-16T23:59:00Z,02/16 18:59,15623,19176,,2021-02-16T23:59:00Z,15140864,637799,,533024,15312,311,,4782656,,,,151476,14572,,527202,,,,25,1360,6666,4811568,82971,4811568,,56,317,e26ee63d7cfcbd52f8cad5883e4353c3ceb3c48b,0,0,0,0,0,
2021-02-17,MD,Maryland,372980,,2938416,,totalTestsViral,7519063,1096,34078,272,,,,9571,2021-02-17T10:00:00,2021-02-17T10:00:00Z,02/17 05:00,7630,34078,,2021-02-17T10:00:00Z,7519063,454985,,372980,7449,181,,3311396,,,,193813,26456,167357,,,,,24,759,4835,3311396,23155,3311396,,18,98,eebf269b435786e930bf37842b24652f44262708,0,0,0,0,0,
2021-02-17,ME,Maine,42872,8752,,,totalTestsViral,1498314,91,1490,25,,9,,12693,2021-02-16T23:59:00,2021-02-16T23:59:00Z,02/16 18:59,654,1490,,2021-02-16T23:59:00Z,1498314,39473,,34120,640,14,,,14797,781,14004,,,,,,176916,9455,23,104,0,42872,10934,42872,,3,3,6b6971b43b92b9b286a3f4c339638b309b2e728c,0,0,0,0,0,
2021-02-17,MI,Michigan,632772,55569,,,totalTestsViral,10035426,929,,237,,116,,517991,2021-02-17T00:00:00,2021-02-17T00:00:00Z,02/16 19:00,16160,,,2021-02-17T00:00:00Z,10035426,731226,9304200,577203,15188,972,,,512204,,,,,,,,,,26,1240,0,632772,28292,632772,,11,0,25fdaac0d5099fc120752ae99405abae449bec8e,0,0,0,0,0,
2021-02-17,MN,Minnesota,475379,22055,2925345,,totalTestEncountersViral,6630126,314,25287,54,5212,,,462502,2021-02-16T17:00:00,2021-02-16T17:00:00Z,02/16 12:00,6390,25287,,2021-02-16T17:00:00Z,,,,453324,6124,266,6630126,3378669,,,,,,,,,391083,,27,758,4390,3400724,18370,3400724,,10,44,b6440c2721f83b24f24ceb8694bb1461407c04c2,0,0,0,0,0,
2021-02-17,MO,Missouri,472741,,1825761,,totalTestsViral,4350392,1279,,286,,201,,,2021-02-17T00:59:00,2021-02-17T00:59:00Z,02/16 19:59,7470,,,2021-02-17T00:59:00Z,4350392,521735,3819449,472741,,,,2298502,145644,22615,122836,131050,,,321162,,763354,77843,29,598,1901,2298502,7086,2298502,,12,0,7510b7a14f3ac36226e9a6651f38a9818e9dca99,0,0,0,0,0,
2021-02-17,MP,Northern Mariana Islands,135,,17429,,posNeg,17564,,4,,,,,29,2021-02-16T00:00:00,2021-02-16T00:00:00Z,02/15 19:00,2,4,,2021-02-16T00:00:00Z,26131,,,135,2,,,17542,,,,,,,,,,,69,1,0,17564,1,17564,,0,0,4fa52bdf55cc5433bc3c997f6f0d143fbd56de5b,0,0,0,0,0,
2021-02-17,MS,Mississippi,289398,109067,1393383,,posNeg,1682781,587,8978,168,,91,,264456,2021-02-16T00:00:00,2021-02-16T00:00:00Z,02/15 19:00,6524,8978,,2021-02-16T00:00:00Z,1573265,,,180331,4600,1924,,,79693,,,,,,,,712107,,28,684,0,1682781,684,1682781,,23,0,fd68833cd16f2ad0434271035301a24e2b7f8efd,0,0,0,0,0,
2021-02-17,MT,Montana,97900,3008,,,totalTestsViral,1029320,91,4477,23,,14,,94034,2021-02-17T01:59:00,2021-02-17T01:59:00Z,02/16 20:59,1334,4477,,2021-02-17T01:59:00Z,1029320,,,94892,,,,,,,,,,,,,,,30,234,0,97900,3953,97900,,3,16,c7da86f1c0eb3e28e6ee5998e5c07548c9ba7c6b,0,0,0,0,0,
2021-02-17,NC,North Carolina,829507,100731,,,totalTestsViral,9058420,1954,,446,,,,,2021-02-17T12:45:00,2021-02-17T12:45:00Z,02/17 07:45,10670,,765456,2021-02-17T12:45:00Z,9058420,,,728776,9482,1188,,,,,,,,,,,669667,,37,3167,0,829507,22102,829507,,108,0,6ccb61972964b78007b460e438fcc64232f27b7b,0,0,0,0,0,
2021-02-17,ND,North Dakota,98901,4936,301563,,totalTestEncountersViral,1384149,43,3850,7,560,,,96673,2021-02-17T01:59:00,2021-02-17T01:59:00Z,02/16 20:59,1461,3850,,2021-02-17T01:59:00Z,1480207,,,93965,,,1384149,400464,13395,1442,11953,,,,,,123131,,38,120,472,400464,2979,400464,,0,5,e7496db53a86304630f9892efdd1a5faf7b5c2e6,0,0,0,0,0,
2021-02-17,NE,Nebraska,197746,,753207,,totalTestsViral,2279925,185,5981,,,,,142335,2021-02-17T11:30:00,2021-02-17T11:30:00Z,02/17 06:30,2018,5981,,2021-02-17T11:30:00Z,2279925,229051,2048349,,,,,951463,,,,,,,,,,,31,299,1520,950953,22132,950953,,14,17,74659312bb099412719b03cf36985d8054c35318,0,0,0,0,0,
2021-02-17,NH,New Hampshire,71965,21167,567204,,totalTestsViral,1377103,126,1083,,338,,,67445,2021-02-17T09:00:00,2021-02-17T09:00:00Z,02/17 04:00,1148,1083,,2021-02-17T09:00:00Z,1377103,,,50797,,,,618001,38765,,,37226,,,,,172069,,33,750,888,639169,6214,639169,,12,3,a5a2b2aa548bc91dfc30441b2cf901334bda1d1d,0,0,0,0,0,
2021-02-17,NJ,New Jersey,755174,82066,9409262,,posNeg,10164436,2370,62718,411,,309,,,2021-02-17T00:00:00,2021-02-17T00:00:00Z,02/16 19:00,22632,62718,72798,2021-02-17T00:00:00Z,10082370,,,673108,20343,2289,,,,,,,,,,,,,34,4109,75547,10164436,79656,10164436,,135,127,bee410e47d51f7ee7b4e2947967d64671b8d982c,0,0,0,0,0,
2021-02-17,NM,New Mexico,181332,,,,totalTestsViral,2567877,280,12790,,,,,125064,2021-02-17T17:51:00,2021-02-17T17:51:00Z,02/17 12:51,3562,12790,,2021-02-17T17:51:00Z,2567877,,,,,,,,,,,,,,,,,,35,272,0,181332,11363,181332,,12,33,90c39a4e424ed2cbc581891bef52893ff9db35bc,0,0,0,0,0,
2021-02-17,NV,Nevada,289392,,1094532,,totalTestEncountersViral,2634991,740,,176,,110,,,2021-02-16T00:00:00,2021-02-16T00:00:00Z,02/15 19:00,4774,,,2021-02-16T00:00:00Z,,,,289392,,,2634991,1383924,,,,,,,,,,,32,363,3701,1383924,8214,1383924,,41,0,09a3d435871dacc6db363eca5d967da0c95af887,0,0,0,0,0,
2021-02-17,NY,New York,1548979,,,,totalTestEncountersViral,35523811,6574,89995,1273,,854,,,2021-02-16T14:00:00,2021-02-16T14:00:00Z,02/16 09:00,37440,89995,139544,2021-02-16T14:00:00Z,,,,,,,35523811,,,,,,,,,,,,36,6092,0,1548979,169963,1548979,,112,0,6e0954d5b2687340bbdf68d2bf2cfa04ab68a9da,0,0,0,0,0,
2021-02-17,OH,Ohio,945107,130575,,,totalTestsViral,9671588,1539,48888,447,6974,299,,872282,2021-02-17T14:00:00,2021-02-17T14:00:00Z,02/17 09:00,16513,48888,,2021-02-17T14:00:00Z,9671588,843317,,814532,14046,2467,,,,,,,,,,,1529612,79767,39,1816,0,945107,16874,945107,,60,149,188b9273eb84b35ecf4cf60babfb3997a60da22d,0,0,0,0,0,
2021-02-17,OK,Oklahoma,415858,,2984643,207,posNeg,3400501,711,23392,202,,,,393169,,,,4089,23392,,,3374098,378721,2984643,,,,,,142681,19845,,,,,,,,,40,1078,27038,3400708,28116,3400501,,28,122,075e955ad714751be59cf60254ee06e9aa8229fc,0,0,0,0,0,
2021-02-17,OR,Oregon,150875,,,,totalTestsViral,3419985,231,8298,53,,26,,,2021-02-16T03:01:00,2021-02-16T03:01:00Z,02/15 22:01,2138,8298,,2021-02-16T03:01:00Z,3419985,197882,3222103,,,,,,,,,,,,,,,,41,411,0,150875,35282,150875,,1,113,70e79613438d53d09cb6902d6ed35cadd42cf33d,0,0,0,0,0,
2021-02-17,PA,Pennsylvania,902650,123012,3791021,,totalTestEncountersViral,9945410,2174,,465,,255,,794332,2021-02-17T12:00:00,2021-02-17T12:00:00Z,02/17 07:00,23319,,,2021-02-17T12:00:00Z,,,,779638,,,9945410,4570659,,,,,,,,,,,42,3413,7922,4693671,34524,4693671,,193,0,d488c252e69e8d208af7f068f1dcb95f0a5c157b,0,0,0,0,0,
2021-02-17,PR,Puerto Rico,98428,7439,305972,,posNeg,404400,241,,44,,42,,88381,2021-02-17T00:00:00,2021-02-17T00:00:00Z,02/16 19:00,1930,,,2021-02-17T00:00:00Z,415664,20103,395291,90989,1640,290,,,,76198,,,,,,,,,72,111,0,404400,111,404400,,6,0,f13caff2a6f3d14af190a4081e09f3834e2e5144,0,0,0,0,0,
2021-02-17,RI,Rhode Island,122440,,652800,,totalTestEncountersViral,2810326,193,8811,30,,19,,,2021-02-17T13:00:00,2021-02-17T13:00:00Z,02/17 08:00,2352,8811,7633,2021-02-17T13:00:00Z,,146052,2664274,,,,2810326,775240,,,,,,,,,,,44,368,1773,775240,19330,775240,,8,25,452c747c696ca98f9c0f6bcb0284f095c6d50c14,0,0,0,0,0,
2021-02-17,SC,South Carolina,492369,62875,4237377,,posNeg,4729746,1205,19572,278,,162,,223251,2021-02-15T23:59:00,2021-02-15T23:59:00Z,02/15 18:59,8117,19572,,2021-02-15T23:59:00Z,4666871,552733,4114138,429494,7248,869,,,128369,25408,102961,,,,,,777701,100943,45,1916,8899,4729746,10815,4729746,,62,120,022daec9be3b973aa4ed62424dc55f28a8f66022,0,0,0,0,0,
2021-02-17,SD,South Dakota,110685,12186,304204,,totalTestsViral,675610,94,6466,11,,4,,106769,2021-02-16T14:00:00,2021-02-16T14:00:00Z,02/16 09:00,1844,6466,,2021-02-16T14:00:00Z,675610,103695,,98499,,,,414889,,,,,,,,,,,46,92,286,414889,1127,414889,,0,5,1b42c2cdd201c02ae9d95f9a4b936d2babc3c973,0,0,0,0,0,
2021-02-17,TN,Tennessee,760303,120696,,,totalTestsViral,6634437,1245,18120,320,,173,,729629,2021-02-17T15:00:00,2021-02-17T15:00:00Z,02/17 10:00,10985,18120,,2021-02-17T15:00:00Z,6634437,737650,5896787,639607,8834,2151,,,,,,,,,,,1265367,131976,47,780,0,760303,7904,760303,,31,57,6f08b31ab31aeaf2121c53f8881f64c1a79e22bd,0,0,0,0,0,
2021-02-17,TX,Texas,2571063,339346,,,totalTestsViral,18810731,7609,,2324,,,,2268067,2021-02-17T13:35:00,2021-02-17T13:35:00Z,02/17 08:35,40717,,,2021-02-17T13:35:00Z,18810731,2521479,,2231717,,,,,987853,141470,,,,,,,2200714,188051,48,3766,0,2571063,0,2571063,,72,0,7192e733118f182f0125fc14e00ea379bb73adb3,0,0,0,0,0,
2021-02-17,UT,Utah,363248,,1496497,,totalTestsViral,2760128,290,14294,99,2248,,784,338469,2021-02-17T10:11:00,2021-02-17T10:11:00Z,02/17 05:11,1806,14294,,2021-02-17T10:11:00Z,2760128,336849,2423279,,,,,1805277,,,,,,,331311,53890,871265,56228,49,901,3812,1859745,9213,1859745,,9,55,667d9c27b84fcad4ca43c57a63b45e1d0ffacb4d,0,0,0,0,0,
2021-02-17,VA,Virginia,555592,115918,,202,totalTestEncountersViral,5653212,1823,23179,386,,239,,,2021-02-16T17:00:00,2021-02-16T17:00:00Z,02/16 12:00,7075,23179,44595,2021-02-16T17:00:00Z,,536977,,439674,6080,995,5653212,,216809,26169,,,,,,,1258454,115591,51,2284,0,555794,19394,555592,,38,137,cfdae043f45f5dd86c1e1185019a929e432acc47,0,0,0,0,0,
2021-02-17,VI,United States Virgin Islands,2545,,42724,121,posNeg,45269,,,,,,,2441,2021-02-17T10:01:00,2021-02-17T10:01:00Z,02/17 05:01,25,,,2021-02-17T10:01:00Z,,,,,,,,45390,,,,,,,,,,,78,3,134,45390,137,45269,,0,0,ce08674aa6674adcfa62e3b993add6a332bafa2a,0,0,0,0,0,
2021-02-17,VT,Vermont,13996,397,307199,,totalTestsViral,987188,46,,8,,,,11072,2021-02-16T23:59:00,2021-02-16T23:59:00Z,02/16 18:59,191,,,2021-02-16T23:59:00Z,987188,,,13599,,,,320798,,,,,,,,,,,50,79,1222,321195,9621,321195,,0,0,93155c308e26a186dc73ae366daf421cdb8d4ddf,0,0,0,0,0,
2021-02-17,WA,Washington,329746,16918,,,totalTestEncountersViral,4967466,704,18764,160,,55,,,2021-02-16T02:59:00,2021-02-16T02:59:00Z,02/15 21:59,4709,18764,,2021-02-16T02:59:00Z,,312773,4654384,312828,,,4967466,,,,,,,,,,,,53,1699,0,329746,71312,329746,,34,121,78865c5045376a61b7b3c6d4a84ae0ec25eeee50,0,0,0,0,0,
2021-02-17,WI,Wisconsin,609189,52200,2575026,36,totalTestEncountersViral,6563379,385,25498,107,2236,,,540524,2021-02-17T00:00:00,2021-02-17T00:00:00Z,02/16 19:00,6798,25498,,2021-02-17T00:00:00Z,,,,556989,6214,584,6563379,3132015,,,,,,,,,,,55,771,4228,3184251,31540,3184215,,10,76,f86b96b5bcfced93031c8fad122553ffbc779fd6,0,0,0,0,0,
2021-02-17,WV,West Virginia,128405,25661,,,totalTestsViral,2080039,320,,74,,32,,115658,2021-02-16T23:59:00,2021-02-16T23:59:00Z,02/16 18:59,2225,,,2021-02-16T23:59:00Z,2080039,,,102744,1898,327,,,31951,,,,,,,,,,54,288,0,128405,8258,128405,,9,0,e8c87b7a91e9278a1c456e976b6cb1cf05206281,0,0,0,0,0,
2021-02-17,WY,Wyoming,53450,8012,178042,,totalTestsViral,615337,32,1363,,,,,52039,2021-02-17T00:00:00,2021-02-17T00:00:00Z,02/16 19:00,662,1363,,2021-02-17T00:00:00Z,615337,38213,569232,45438,,,,223480,,,,,,,,,,,56,99,227,231492,981,231492,,0,2,999b5fff1a3a8ed66eb779ca41c2bfc58daa6749,0,0,0,0,0,
2021-02-16,AK,Alaska,54736,,,,totalTestsViral,1605827,43,1233,,,2,,,2021-02-16T03:59:00,2021-02-16T03:59:00Z,02/15 22:59,287,1233,,2021-02-16T03:59:00Z,1605827,66077,1537830,,,,,,,,,,,,,,,,2,454,0,54736,21279,54736,,5,3,4382a871d22ec982fc4ac57442e3069916a6fc12,0,0,0,0,0,
2021-02-16,AL,Alabama,482488,104119,1857088,,totalTestsPeopleViral,2235457,1104,44541,,2607,,1479,264621,2021-02-16T11:00:00,2021-02-16T11:00:00Z,02/16 06:00,9257,44541,,2021-02-16T11:00:00Z,,,,378369,7261,1996,,2235457,,,,113087,,,,,,,1,883,3250,2339576,3816,2339576,,13,199,15659c216fd49445ca1ed043d4bcdf64739022ae,0,0,0,0,0,
